Fundo,Modulo,Velocidad,Anio,Semana_de_cosecha,Semana_de_empaque,Fecha_de_cosecha,Etapa, Resultado, Humedad_relativa, Temperatura_minima, Temperatura_maxima, Radiacion_solar_maxima, Radiacion_solar
Arato,1,17,2022,23,23,10/06/2022,Campo(C=8),16,87.92,13.83,22.33,701,4223
Arato,1,17,2022,23,23,10/06/2022,Recepcion(R=30),15,87.92,13.83,22.33,701,4223
Arato,1,17,2022,23,23,10/06/2022,Terminado(PT=125),220,87.92,13.83,22.33,701,4223
Arato,1,25,2022,32,32,12/08/2022,Recepcion(R=30),16,88.63,13.30,21.20,733,4549
Arato,1,25,2022,32,32,12/08/2022,Terminado(PT=125),132,88.63,13.30,21.20,733,4549
Arato,1,28,2021,36,36,10/09/2021,Campo(C=8),36,85.25,13.00,23.10,934,6034
Arato,1,28,2021,36,36,10/09/2021,Recepcion(R=30),23,85.25,13.00,23.10,934,6034
Arato,1,28,2021,36,36,10/09/2021,Terminado(PT=125),113,85.25,13.00,23.10,934,6034
Arato,1,31,2021,36,36,09/09/2021,Campo(C=8),23,84.75,13.20,23.30,894,5609
Arato,1,31,2021,36,36,09/09/2021,Recepcion(R=30),25,84.75,13.20,23.30,894,5609
Arato,1,31,2021,36,36,09/09/2021,Terminado(PT=125),129,84.75,13.20,23.30,894,5609
Arato,1,32,2021,36,36,11/09/2021,Campo(C=8),36,85.17,14.30,23.20,868,4093
Arato,1,32,2021,36,36,11/09/2021,Recepcion(R=30),33,85.17,14.30,23.20,868,4093
Arato,1,32,2021,36,36,11/09/2021,Terminado(PT=125),117,85.17,14.30,23.20,868,4093
Arato,1,35,2021,26,26,28/06/2021,Recepcion(R=30),15,85.17,14.70,24.60,697,4386
Arato,1,35,2021,26,26,28/06/2021,Terminado(PT=125),78,85.17,14.70,24.60,697,4386
Arato,1,35,2021,29,29,23/07/2021,Campo(C=8),16,85.71,15.40,23.60,720,4449
Arato,1,35,2021,29,29,23/07/2021,Recepcion(R=30),21,85.71,15.40,23.60,720,4449
Arato,1,35,2021,29,29,23/07/2021,Terminado(PT=125),120,85.71,15.40,23.60,720,4449
Arato,1,36,2021,32,32,11/08/2021,Campo(C=8),30,84.54,13.20,22.30,876,4736
Arato,1,36,2021,32,32,11/08/2021,Recepcion(R=30),49,84.54,13.20,22.30,876,4736
Arato,1,36,2021,32,32,11/08/2021,Terminado(PT=125),74,84.54,13.20,22.30,876,4736
Arato,1,40,2021,23,23,11/06/2021,Recepcion(R=30),14,93.63,16.60,18.90,140,897
Arato,1,40,2021,23,23,11/06/2021,Terminado(PT=125),146,93.63,16.60,18.90,140,897
Arato,1,40,2021,25,25,23/06/2021,Campo(C=8),19,85.71,16.40,23.30,711,3856
Arato,1,40,2021,25,25,23/06/2021,Recepcion(R=30),18,85.71,16.40,23.30,711,3856
Arato,1,40,2021,25,25,23/06/2021,Terminado(PT=125),143,85.71,16.40,23.30,711,3856
Arato,1,40,2021,25,25,24/06/2021,Campo(C=8),18,88.92,16.40,19.00,140,961
Arato,1,40,2021,25,25,24/06/2021,Recepcion(R=30),16,88.92,16.40,19.00,140,961
Arato,1,40,2021,25,25,24/06/2021,Terminado(PT=125),139,88.92,16.40,19.00,140,961
Arato,1,40,2021,25,25,25/06/2021,Campo(C=8),25,89.25,13.80,20.90,254,1758
Arato,1,40,2021,25,25,25/06/2021,Recepcion(R=30),23,89.25,13.80,20.90,254,1758
Arato,1,40,2021,25,25,25/06/2021,Terminado(PT=125),133,89.25,13.80,20.90,254,1758
Arato,1,42,2021,25,25,26/06/2021,Campo(C=8),27,89.13,13.50,20.00,246,1500
Arato,1,42,2021,25,25,26/06/2021,Recepcion(R=30),62,89.13,13.50,20.00,246,1500
Arato,1,42,2021,25,25,26/06/2021,Terminado(PT=125),78,89.13,13.50,20.00,246,1500
Arato,1,44,2022,23,23,07/06/2022,Campo(C=8),6,82.54,15.27,23.22,714,4547
Arato,1,44,2022,23,23,07/06/2022,Recepcion(R=30),29,82.54,15.27,23.22,714,4547
Arato,1,44,2022,23,23,07/06/2022,Terminado(PT=125),224,82.54,15.27,23.22,714,4547
Arato,1,48,2022,23,23,09/06/2022,Campo(C=8),6,82.83,13.94,24.27,708,4832
Arato,1,48,2022,23,23,09/06/2022,Recepcion(R=30),23,82.83,13.94,24.27,708,4832
Arato,1,48,2022,23,23,09/06/2022,Terminado(PT=125),140,82.83,13.94,24.27,708,4832
Arato,1,50,2022,23,23,06/06/2022,Campo(C=8),14,91.29,13.16,19.00,283,1220
Arato,1,50,2022,23,23,06/06/2022,Recepcion(R=30),34,91.29,13.16,19.00,283,1220
Arato,1,50,2022,23,23,06/06/2022,Terminado(PT=125),139,91.29,13.16,19.00,283,1220
Arato,1,52,2022,23,23,08/06/2022,Campo(C=8),6,79.92,15.38,24.77,725,4720
Arato,1,52,2022,23,23,08/06/2022,Recepcion(R=30),15,79.92,15.38,24.77,725,4720
Arato,1,52,2022,23,23,08/06/2022,Terminado(PT=125),124,79.92,15.38,24.77,725,4720
Arato,1,54,2022,23,23,11/06/2022,Campo(C=8),10,87.17,13.38,22.27,646,3892
Arato,1,54,2022,23,23,11/06/2022,Recepcion(R=30),14,87.17,13.38,22.27,646,3892
Arato,1,54,2022,23,23,11/06/2022,Terminado(PT=125),122,87.17,13.38,22.27,646,3892
Arato,2,25,2021,29,29,24/07/2021,Campo(C=8),27,83.88,16.10,21.90,600,3099
Arato,2,25,2021,29,29,24/07/2021,Recepcion(R=30),46,83.88,16.10,21.90,600,3099
