Fundo,Modulo,Anio,Semana_de_cosecha,Velocidad,Etapa, Resultado, Temperatura_minima, Temperatura_maxima, Humedad_relativa, Radiacion_solar_maxima, Radiacion_solar
Arato,1,2021,23,40,Recepcion(R=30),14,16.60,18.90,93.63,140,897
Arato,1,2021,23,40,Terminado(PT=125),146,16.60,18.90,93.63,140,897
Arato,1,2021,25,40,Campo(C=8),20,15.53,21.07,87.96,368,2192
Arato,1,2021,25,40,Recepcion(R=30),19,15.53,21.07,87.96,368,2192
Arato,1,2021,25,40,Terminado(PT=125),138,15.53,21.07,87.96,368,2192
Arato,1,2021,25,42,Campo(C=8),27,13.50,20.00,89.13,246,1500
Arato,1,2021,25,42,Recepcion(R=30),62,13.50,20.00,89.13,246,1500
Arato,1,2021,25,42,Terminado(PT=125),78,13.50,20.00,89.13,246,1500
Arato,1,2021,26,35,Recepcion(R=30),15,14.70,24.60,85.17,697,4386
Arato,1,2021,26,35,Terminado(PT=125),78,14.70,24.60,85.17,697,4386
Arato,1,2021,29,35,Campo(C=8),16,15.40,23.60,85.71,720,4449
Arato,1,2021,29,35,Recepcion(R=30),21,15.40,23.60,85.71,720,4449
Arato,1,2021,29,35,Terminado(PT=125),120,15.40,23.60,85.71,720,4449
Arato,1,2021,32,36,Campo(C=8),30,13.20,22.30,84.54,876,4736
Arato,1,2021,32,36,Recepcion(R=30),49,13.20,22.30,84.54,876,4736
Arato,1,2021,32,36,Terminado(PT=125),74,13.20,22.30,84.54,876,4736
Arato,1,2021,36,28,Campo(C=8),36,13.00,23.10,85.25,934,6034
Arato,1,2021,36,28,Recepcion(R=30),23,13.00,23.10,85.25,934,6034
Arato,1,2021,36,28,Terminado(PT=125),113,13.00,23.10,85.25,934,6034
Arato,1,2021,36,31,Campo(C=8),23,13.20,23.30,84.75,894,5609
Arato,1,2021,36,31,Recepcion(R=30),25,13.20,23.30,84.75,894,5609
Arato,1,2021,36,31,Terminado(PT=125),129,13.20,23.30,84.75,894,5609
Arato,1,2021,36,32,Campo(C=8),36,14.30,23.20,85.17,868,4093
Arato,1,2021,36,32,Recepcion(R=30),33,14.30,23.20,85.17,868,4093
Arato,1,2021,36,32,Terminado(PT=125),117,14.30,23.20,85.17,868,4093
Arato,1,2022,23,17,Campo(C=8),16,13.83,22.33,87.92,701,4223
Arato,1,2022,23,17,Recepcion(R=30),15,13.83,22.33,87.92,701,4223
Arato,1,2022,23,17,Terminado(PT=125),220,13.83,22.33,87.92,701,4223
Arato,1,2022,23,44,Campo(C=8),6,15.27,23.22,82.54,714,4547
Arato,1,2022,23,44,Recepcion(R=30),29,15.27,23.22,82.54,714,4547
Arato,1,2022,23,44,Terminado(PT=125),224,15.27,23.22,82.54,714,4547
Arato,1,2022,23,48,Campo(C=8),6,13.94,24.27,82.83,708,4832
Arato,1,2022,23,48,Recepcion(R=30),23,13.94,24.27,82.83,708,4832
Arato,1,2022,23,48,Terminado(PT=125),140,13.94,24.27,82.83,708,4832
Arato,1,2022,23,50,Campo(C=8),14,13.16,19.00,91.29,283,1220
Arato,1,2022,23,50,Recepcion(R=30),34,13.16,19.00,91.29,283,1220
Arato,1,2022,23,50,Terminado(PT=125),139,13.16,19.00,91.29,283,1220
Arato,1,2022,23,52,Campo(C=8),6,15.38,24.77,79.92,725,4720
Arato,1,2022,23,52,Recepcion(R=30),15,15.38,24.77,79.92,725,4720
Arato,1,2022,23,52,Terminado(PT=125),124,15.38,24.77,79.92,725,4720
Arato,1,2022,23,54,Campo(C=8),10,13.38,22.27,87.17,646,3892
Arato,1,2022,23,54,Recepcion(R=30),14,13.38,22.27,87.17,646,3892
Arato,1,2022,23,54,Terminado(PT=125),122,13.38,22.27,87.17,646,3892
Arato,1,2022,32,25,Recepcion(R=30),16,13.30,21.20,88.63,733,4549
Arato,1,2022,32,25,Terminado(PT=125),132,13.30,21.20,88.63,733,4549
Arato,2,2021,23,40,Recepcion(R=30),16,16.60,18.90,93.63,140,897
Arato,2,2021,23,40,Terminado(PT=125),163,16.60,18.90,93.63,140,897
Arato,2,2021,29,25,Campo(C=8),27,16.10,21.90,83.88,600,3099
Arato,2,2021,29,25,Recepcion(R=30),46,16.10,21.90,83.88,600,3099
Arato,2,2021,29,25,Terminado(PT=125),166,16.10,21.90,83.88,600,3099
Arato,2,2021,29,33,Campo(C=8),23,14.40,22.85,88.31,682,3108
Arato,2,2021,29,33,Recepcion(R=30),33,14.40,22.85,88.31,682,3108
Arato,2,2021,29,33,Terminado(PT=125),93,14.40,22.85,88.31,682,3108
Arato,2,2021,29,35,Campo(C=8),19,13.80,24.90,86.33,704,4514
Arato,2,2021,29,35,Recepcion(R=30),47,13.80,24.90,86.33,704,4514
Arato,2,2021,29,35,Terminado(PT=125),81,13.80,24.90,86.33,704,4514
Arato,2,2021,29,37,Campo(C=8),19,15.40,23.60,85.71,720,4449
Arato,2,2021,29,37,Terminado(PT=125),122,15.40,23.60,85.71,720,4449
Arato,2,2021,29,38,Campo(C=8),20,16.20,21.30,89.38,488,1790
Arato,2,2021,29,38,Recepcion(R=30),41,16.20,21.30,89.38,488,1790
Arato,2,2021,29,38,Terminado(PT=125),68,16.20,21.30,89.38,488,1790
Arato,2,2021,30,33,Campo(C=8),19,15.80,18.70,90.54,177,1151
Arato,2,2021,30,33,Recepcion(R=30),22,15.80,18.70,90.54,177,1151
Arato,2,2021,30,33,Terminado(PT=125),188,15.80,18.70,90.54,177,1151
Arato,2,2021,30,35,Campo(C=8),13,14.30,22.70,88.42,766,3777
Arato,2,2021,30,35,Recepcion(R=30),51,14.30,22.70,88.42,766,3777
Arato,2,2021,30,35,Terminado(PT=125),181,14.30,22.70,88.42,766,3777
Arato,2,2021,30,36,Campo(C=8),19,14.65,24.40,85.27,707,4751
Arato,2,2021,30,36,Recepcion(R=30),23,14.64,24.40,85.27,707,4751
Arato,2,2021,30,36,Terminado(PT=125),136,14.65,24.40,85.27,707,4751
